date,technician_id,technician_name,service_type,vehicle_type,scheduled_time,actual_completion_time,turnaround_minutes,on_time,csat_score,comeback,service_accurate,tires_serviced
2024-01-12,T04,Andre L.,Tire Rotation,Truck,13:00,13:50,50,1,4,0,1,4
2024-01-15,T01,Marcus J.,Tire Mount & Balance,Sedan,08:30,09:22,52,1,5,0,1,4
2024-01-15,T02,Devon R.,Flat Repair,SUV,09:00,09:18,18,1,5,0,1,1
2024-01-15,T03,Keisha M.,Tire Rotation,Truck,10:00,10:45,45,1,4,0,1,4
2024-01-15,T04,Andre L.,Tire Mount & Balance,Sedan,11:00,12:05,65,0,3,0,1,4
2024-01-15,T01,Marcus J.,Tire Rotation,SUV,13:30,14:12,42,1,4,0,1,4
2024-01-16,T02,Devon R.,Tire Mount & Balance,Truck,08:00,09:00,60,0,4,0,1,6
2024-01-16,T03,Keisha M.,Flat Repair,Sedan,09:00,09:22,22,1,5,0,1,1
2024-01-16,T04,Andre L.,Tire Rotation,SUV,10:00,10:40,40,1,4,0,1,4
2024-01-16,T01,Marcus J.,Tire Mount & Balance,Truck,11:00,12:08,68,0,3,1,0,6
2024-01-16,T02,Devon R.,Tire Rotation,Sedan,13:00,13:35,35,1,5,0,1,4
2024-01-17,T03,Keisha M.,Tire Mount & Balance,SUV,08:30,09:28,58,1,4,0,1,4
2024-01-17,T04,Andre L.,Flat Repair,Truck,09:00,09:20,20,1,5,0,1,1
2024-01-17,T01,Marcus J.,Tire Rotation,Sedan,10:00,10:42,42,1,4,0,1,4
2024-01-17,T02,Devon R.,Tire Mount & Balance,SUV,11:00,12:00,60,0,3,0,1,4
2024-01-17,T03,Keisha M.,Tire Rotation,Truck,13:30,14:18,48,1,4,0,1,4
2024-01-18,T04,Andre L.,Tire Mount & Balance,Sedan,08:00,08:52,52,1,5,0,1,4
2024-01-18,T01,Marcus J.,Flat Repair,SUV,09:00,09:16,16,1,5,0,1,1
2024-01-18,T02,Devon R.,Tire Rotation,Truck,10:30,11:12,42,1,4,0,1,4
2024-01-18,T03,Keisha M.,Tire Mount & Balance,Sedan,11:00,12:05,65,0,2,1,0,4
2024-01-18,T04,Andre L.,Tire Rotation,SUV,13:00,13:48,48,1,4,0,1,4
2024-01-19,T01,Marcus J.,Tire Mount & Balance,Truck,08:30,09:32,62,0,4,0,1,6
2024-01-19,T02,Devon R.,Flat Repair,Sedan,09:00,09:18,18,1,5,0,1,1
2024-01-19,T03,Keisha M.,Tire Rotation,SUV,10:00,10:38,38,1,4,0,1,4
2024-01-19,T04,Andre L.,Tire Mount & Balance,Truck,11:00,12:10,70,0,3,1,0,6
2024-01-19,T01,Marcus J.,Tire Rotation,Sedan,13:30,14:08,38,1,5,0,1,4
2024-01-22,T02,Devon R.,Tire Mount & Balance,SUV,08:00,08:55,55,1,4,0,1,4
2024-01-22,T03,Keisha M.,Flat Repair,Truck,09:00,09:22,22,1,5,0,1,1
2024-01-22,T04,Andre L.,Tire Rotation,Sedan,10:00,10:45,45,1,3,0,1,4
2024-01-22,T01,Marcus J.,Tire Mount & Balance,SUV,11:00,12:00,60,0,4,0,1,4
2024-01-22,T02,Devon R.,Tire Rotation,Truck,13:00,13:42,42,1,4,0,1,4
2024-01-23,T03,Keisha M.,Tire Mount & Balance,Sedan,08:30,09:28,58,1,5,0,1,4
2024-01-23,T04,Andre L.,Flat Repair,SUV,09:00,09:18,18,1,5,0,1,1
2024-01-23,T01,Marcus J.,Tire Rotation,Truck,10:00,10:48,48,1,4,0,1,4
2024-01-23,T02,Devon R.,Tire Mount & Balance,Sedan,11:00,12:05,65,0,3,1,0,4
2024-01-23,T03,Keisha M.,Tire Rotation,SUV,13:30,14:15,45,1,4,0,1,4
2024-01-24,T04,Andre L.,Tire Mount & Balance,Truck,08:00,09:05,65,0,3,0,1,6
2024-01-24,T01,Marcus J.,Flat Repair,Sedan,09:00,09:20,20,1,5,0,1,1
2024-01-24,T02,Devon R.,Tire Rotation,SUV,10:30,11:10,40,1,4,0,1,4
2024-01-24,T03,Keisha M.,Tire Mount & Balance,Truck,11:00,12:02,62,0,4,0,1,6
2024-01-24,T04,Andre L.,Tire Rotation,Sedan,13:00,13:40,40,1,4,0,1,4
2024-01-25,T01,Marcus J.,Tire Mount & Balance,SUV,08:30,09:25,55,1,5,0,1,4
2024-01-25,T02,Devon R.,Flat Repair,Truck,09:00,09:22,22,1,5,0,1,1
2024-01-25,T03,Keisha M.,Tire Rotation,Sedan,10:00,10:42,42,1,3,0,1,4
2024-01-25,T04,Andre L.,Tire Mount & Balance,SUV,11:00,12:08,68,0,3,1,0,4
2024-01-25,T01,Marcus J.,Tire Rotation,Truck,13:30,14:12,42,1,4,0,1,4
2024-01-26,T02,Devon R.,Tire Mount & Balance,Sedan,08:00,08:58,58,1,4,0,1,4
2024-01-26,T03,Keisha M.,Flat Repair,SUV,09:00,09:18,18,1,5,0,1,1
2024-01-26,T04,Andre L.,Tire Rotation,Truck,10:00,10:45,45,1,4,0,1,4
2024-01-26,T01,Marcus J.,Tire Mount & Balance,Sedan,11:00,12:00,60,0,3,0,1,4
2024-01-26,T02,Devon R.,Tire Rotation,SUV,13:00,13:38,38,1,5,0,1,4
2024-01-29,T03,Keisha M.,Tire Mount & Balance,Truck,08:30,09:30,60,0,4,0,1,6
2024-01-29,T04,Andre L.,Flat Repair,Sedan,09:00,09:19,19,1,5,0,1,1
2024-01-29,T01,Marcus J.,Tire Rotation,SUV,10:00,10:40,40,1,4,0,1,4
2024-01-29,T02,Devon R.,Tire Mount & Balance,Truck,11:00,12:10,70,0,2,1,0,6
2024-01-29,T03,Keisha M.,Tire Rotation,Sedan,13:30,14:10,40,1,4,0,1,4
2024-01-30,T04,Andre L.,Tire Mount & Balance,SUV,08:00,08:55,55,1,5,0,1,4
2024-01-30,T01,Marcus J.,Flat Repair,Truck,09:00,09:24,24,1,5,0,1,1
2024-01-30,T02,Devon R.,Tire Rotation,Sedan,10:30,11:08,38,1,4,0,1,4
2024-01-30,T03,Keisha M.,Tire Mount & Balance,SUV,11:00,12:05,65,0,3,1,0,4
2024-01-30,T04,Andre L.,Tire Rotation,Truck,13:00,13:50,50,1,4,0,1,4
2024-01-31,T01,Marcus J.,Tire Mount & Balance,Sedan,08:30,09:28,58,1,4,0,1,4
2024-01-31,T02,Devon R.,Flat Repair,SUV,09:00,09:16,16,1,5,0,1,1
2024-01-31,T03,Keisha M.,Tire Rotation,Truck,10:00,10:48,48,1,3,0,1,4
2024-01-31,T04,Andre L.,Tire Mount & Balance,Sedan,11:00,12:12,72,0,3,1,0,4
2024-01-31,T01,Marcus J.,Tire Rotation,SUV,13:30,14:10,40,1,5,0,1,4
